RegionName,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
10025,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3450.0,3400.0,3395.0,3500.0,3500.0,3622.5,3600.0,3600.0,3567.0,3500.0,3500.0,3550.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3495.0,3500.0,3600.0,3450.0,3400.0,3450.0,3500.0
10023,4800.0,4875.0,4800.0,4800.0,4900.0,4897.5,4900.0,4950.0,4912.5,4900.0,4800.0,5000.0,5100.0,5000.0,4950.0,5080.0,5200.0,4925.0,4800.0,4925.0,4950.0,4937.5,4995.0,5000.0,5000.0,4925.0,4800.0,4800.0,4860.0,4750.0,4840.0,4900.0,4900.0,4950.0,5200.0,5183.5
10002,3200.0,3395.0,3199.5,3200.0,3300.0,3300.0,3300.0,3400.0,3397.5,3295.0,3295.0,3250.0,3200.0,3100.0,3099.0,3137.5,3099.0,3208.0,3300.0,3275.0,3250.0,3250.0,3392.0,3395.0,3425.0,3400.0,3375.0,3450.0,3349.5,3395.0,3371.0,3437.5,3483.0,3400.0,3466.5,3500.0
10016,4200.0,4200.0,4195.0,4200.0,4250.0,4250.0,4250.0,4295.0,4200.0,4143.0,4170.0,4245.0,4295.0,4200.0,4295.0,4312.0,4460.5,4295.0,4295.0,4500.0,4200.0,4250.0,4300.0,4285.0,4338.0,4295.0,4295.0,4200.0,4223.5,4200.0,4295.0,4297.5,4297.5,4495.0,4499.5,4350.0
10029,,,,,3295.0,3095.0,3100.0,3095.0,2920.0,2995.0,2950.0,2950.0,2795.0,2895.0,3000.0,3072.5,3000.0,2980.0,3041.5,3000.0,2995.0,2856.5,2800.0,2900.0,2875.0,2924.5,2995.0,2995.0,2997.5,2995.0,2997.0,2999.0,2997.0,3050.0,2995.0,3000.0
10009,3397.0,3382.5,3300.0,3395.0,3395.0,3400.0,3495.0,3450.0,3400.0,3400.0,3390.0,3300.0,3254.0,3245.0,3250.0,3350.0,3477.5,3350.0,3495.0,3495.0,3500.0,3497.5,3500.0,3492.0,3488.5,3400.0,3392.0,3450.0,3428.0,3482.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
10011,5250.0,4700.0,4750.0,4600.0,4750.0,4675.0,4797.5,4750.0,4595.0,4550.0,4600.0,4847.5,4950.0,4800.0,4897.5,4772.5,4750.0,4620.0,4620.0,4895.0,4895.0,4790.0,4892.0,4895.0,4800.0,4995.0,4900.0,4897.5,4950.0,5000.0,4895.0,4946.0,4995.0,4995.0,5200.0,5111.0
10128,3350.0,3200.0,3495.0,3200.0,3295.0,3295.0,3225.0,3200.0,3183.0,3100.0,3300.0,3350.0,3350.0,3500.0,3695.0,3500.0,3695.0,3295.0,3207.5,3195.0,3199.0,3195.0,3195.0,3349.5,3400.0,3250.0,3295.0,3395.0,3300.0,3265.0,3300.0,3325.0,3295.0,3300.0,3210.0,3250.0
10003,3750.0,3895.0,3855.0,3825.0,3800.0,3895.0,3895.0,3895.0,3895.0,3800.0,3895.0,3800.0,3750.0,3852.5,3895.0,3825.0,3895.0,3950.0,3895.0,3900.0,3875.0,3725.0,3800.0,3800.0,3750.0,3800.0,3800.0,3800.0,3895.0,3995.0,3900.0,3885.0,3900.0,3895.0,3995.0,4000.0
10019,4894.0,4967.0,4967.0,4995.0,4907.5,4883.0,4880.0,4995.0,5012.0,4995.0,4995.5,5056.5,5009.5,5012.0,5000.0,5016.0,4995.0,4995.0,4955.0,4930.0,5036.0,4995.0,5025.0,4998.0,4967.0,5012.0,4926.0,4934.0,4967.0,4900.0,4884.0,4897.0,4947.5,4900.0,4985.0,5000.0
