RegionName,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
10025,2600.0,2550.0,2400.0,2500.0,2500.0,2600.0,2600.0,2595.0,2550.0,2544.0,2543.0,2550.0,2500.0,2500.0,2600.0,2600.0,2625.0,2700.0,2650.0,2650.0,2701.5,2682.0,2500.0,2406.5,2400.0,2575.0,2650.0,2700.0,2676.0,2700.0,2600.0,2678.5,2700.0,2800.0,2695.0,2697.5
10023,2685.0,2675.0,2600.0,2800.0,2800.0,2800.0,2800.0,2800.0,2750.0,2830.0,2765.0,2750.0,2795.0,2800.0,2800.0,2893.0,2900.0,2850.0,2800.0,2875.0,2800.0,2787.5,2700.0,2700.0,2800.0,2780.0,2800.0,2750.0,2800.0,2790.0,2800.0,2875.0,2707.5,2700.0,2765.0,2850.0
10002,2297.5,2200.0,2195.0,2472.5,2600.0,2550.0,2500.0,2495.0,2372.5,2362.5,2450.0,2399.0,2375.0,2200.0,2400.0,2227.5,2197.0,2200.0,2275.0,2550.0,2500.0,2275.0,2300.0,2293.0,2250.0,2397.5,2250.0,2250.0,2343.0,2350.0,2347.5,2400.0,2500.0,2300.0,2495.0,2344.0
10016,2500.0,2550.0,2450.0,2500.0,2603.5,2720.0,2795.0,2862.5,2837.5,2800.0,2700.0,2658.0,2695.0,2625.0,2695.0,2747.0,2750.0,2795.0,2795.0,2800.0,2780.0,2767.0,2750.0,2700.0,2700.0,2700.0,2700.0,2750.0,2750.0,2717.5,2795.0,2850.0,2850.0,2850.0,2800.0,2817.0
10029,2850.0,2800.0,2837.5,2800.0,2725.0,2700.0,2700.0,2725.0,2800.0,2750.0,2800.0,2750.0,2800.0,2800.0,2800.0,2775.0,2775.0,2800.0,2750.0,2800.0,2800.0,2800.0,2750.0,2700.0,2700.0,2725.0,2800.0,2700.0,2800.0,2800.0,2750.0,2725.0,2700.0,2750.0,2850.0,2850.0
10009,2100.0,2122.5,1997.5,2150.0,2200.0,2200.0,2197.0,2197.0,2200.0,2200.0,2190.0,2190.0,2150.0,2050.0,2095.0,2100.0,2100.0,2100.0,2150.0,2200.0,2199.0,2150.0,2200.0,2195.0,2153.0,2175.0,2125.0,2175.0,2123.0,2095.0,2195.0,2200.0,2299.5,2250.0,2225.0,2262.5
10011,2850.0,2770.0,2750.0,2850.0,2916.5,2900.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2895.0,2900.0,2865.0,2850.0,2865.0,2900.0,2900.0,2900.0,2950.0,2950.0,2950.0,2985.0,2949.5,2950.0,2950.0,2950.0,2985.0,2985.0,2985.0,2995.0,2995.0,3000.0,2985.0,2980.0
10128,2050.0,1950.0,1920.0,2000.0,2000.0,2062.5,2095.0,2075.0,2125.0,2150.0,2095.0,2050.0,2077.5,2162.5,2250.0,2249.0,2150.0,2175.0,2200.0,2184.5,2150.0,2154.5,2150.0,2195.0,2200.0,2197.0,2050.0,2095.0,2250.0,2275.0,2150.0,2197.0,2192.5,2150.0,2100.0,2100.0
10003,2695.0,2650.0,2600.0,2650.0,2695.0,2725.0,2736.0,2695.0,2650.0,2695.0,2650.0,2695.0,2675.0,2662.5,2675.0,2700.0,2737.5,2800.0,2800.0,2705.0,2800.0,2750.0,2695.0,2750.0,2750.0,2772.5,2750.0,2795.0,2750.0,2805.0,2795.0,2841.0,2800.0,2750.0,2725.0,2795.0
10019,2850.0,2945.0,2773.0,2873.0,2950.0,2950.0,2950.0,2995.0,3000.0,3000.0,2950.0,2950.0,2930.0,2871.0,2905.0,2880.0,2905.0,2936.5,2900.0,3000.0,2995.0,3000.0,3025.0,3000.0,2995.0,2925.0,2933.0,2997.5,3000.0,3000.0,3100.0,3025.0,3100.0,3125.0,3080.5,3077.0
